Team #,CMP,Event,P(DCMP)
10004,2025chcmp,FIRST Chesapeake District Championship presented by Qualcomm,0
10224,2025chcmp,FIRST Chesapeake District Championship presented by Qualcomm,1
10257,2025chcmp,FIRST Chesapeake District Championship presented by Qualcomm,0
10370,2025chcmp,FIRST Chesapeake District Championship presented by Qualcomm,0
10449,2025chcmp,FIRST Chesapeake District Championship presented by Qualcomm,0
10499,2025chcmp,FIRST Chesapeake District Championship presented by Qualcomm,0
10679,2025chcmp,FIRST Chesapeake District Championship presented by Qualcomm,0
1086,2025chcmp,FIRST Chesapeake District Championship presented by Qualcomm,1
1111,2025chcmp,FIRST Chesapeake District Championship presented by Qualcomm,1
116,2025chcmp,FIRST Chesapeake District Championship presented by Qualcomm,1
122,2025chcmp,FIRST Chesapeake District Championship presented by Qualcomm,1
1262,2025chcmp,FIRST Chesapeake District Championship presented by Qualcomm,0
1389,2025chcmp,FIRST Chesapeake District Championship presented by Qualcomm,0
1418,2025chcmp,FIRST Chesapeake District Championship presented by Qualcomm,1
1446,2025chcmp,FIRST Chesapeake District Championship presented by Qualcomm,0
1522,2025chcmp,FIRST Chesapeake District Championship presented by Qualcomm,0
1599,2025chcmp,FIRST Chesapeake District Championship presented by Qualcomm,0.5
1629,2025chcmp,FIRST Chesapeake District Championship presented by Qualcomm,1
1719,2025chcmp,FIRST Chesapeake District Championship presented by Qualcomm,0
1727,2025chcmp,FIRST Chesapeake District Championship presented by Qualcomm,1
1731,2025chcmp,FIRST Chesapeake District Championship presented by Qualcomm,1
1793,2025chcmp,FIRST Chesapeake District Championship presented by Qualcomm,0
1885,2025chcmp,FIRST Chesapeake District Championship presented by Qualcomm,1
1895,2025chcmp,FIRST Chesapeake District Championship presented by Qualcomm,1
1908,2025chcmp,FIRST Chesapeake District Championship presented by Qualcomm,1
1915,2025chcmp,FIRST Chesapeake District Championship presented by Qualcomm,0
2028,2025chcmp,FIRST Chesapeake District Championship presented by Qualcomm,0
2068,2025chcmp,FIRST Chesapeake District Championship presented by Qualcomm,0
2106,2025chcmp,FIRST Chesapeake District Championship presented by Qualcomm,1
2186,2025chcmp,FIRST Chesapeake District Championship presented by Qualcomm,1
2199,2025chcmp,FIRST Chesapeake District Championship presented by Qualcomm,1
2363,2025chcmp,FIRST Chesapeake District Championship presented by Qualcomm,1
2377,2025chcmp,FIRST Chesapeake District Championship presented by Qualcomm,0
2421,2025chcmp,FIRST Chesapeake District Championship presented by Qualcomm,0
2534,2025chcmp,FIRST Chesapeake District Championship presented by Qualcomm,1
2537,2025chcmp,FIRST Chesapeake District Championship presented by Qualcomm,0
2849,2025chcmp,FIRST Chesapeake District Championship presented by Qualcomm,0
2890,2025chcmp,FIRST Chesapeake District Championship presented by Qualcomm,1
2912,2025chcmp,FIRST Chesapeake District Championship presented by Qualcomm,0
2914,2025chcmp,FIRST Chesapeake District Championship presented by Qualcomm,0
2963,2025chcmp,FIRST Chesapeake District Championship presented by Qualcomm,0
2988,2025chcmp,FIRST Chesapeake District Championship presented by Qualcomm,0
2998,2025chcmp,FIRST Chesapeake District Championship presented by Qualcomm,0
3072,2025chcmp,FIRST Chesapeake District Championship presented by Qualcomm,0
3136,2025chcmp,FIRST Chesapeake District Championship presented by Qualcomm,1
3258,2025chcmp,FIRST Chesapeake District Championship presented by Qualcomm,0
3359,2025chcmp,FIRST Chesapeake District Championship presented by Qualcomm,1
3361,2025chcmp,FIRST Chesapeake District Championship presented by Qualcomm,0
3373,2025chcmp,FIRST Chesapeake District Championship presented by Qualcomm,1
339,2025chcmp,FIRST Chesapeake District Championship presented by Qualcomm,0.5
346,2025chcmp,FIRST Chesapeake District Championship presented by Qualcomm,1
3714,2025chcmp,FIRST Chesapeake District Championship presented by Qualcomm,0
3748,2025chcmp,FIRST Chesapeake District Championship presented by Qualcomm,1
3793,2025chcmp,FIRST Chesapeake District Championship presented by Qualcomm,1
3939,2025chcmp,FIRST Chesapeake District Championship presented by Qualcomm,0
401,2025chcmp,FIRST Chesapeake District Championship presented by Qualcomm,1
404,2025chcmp,FIRST Chesapeake District Championship presented by Qualcomm,0
4099,2025chcmp,FIRST Chesapeake District Championship presented by Qualcomm,0
422,2025chcmp,FIRST Chesapeake District Championship presented by Qualcomm,1
4286,2025chcmp,FIRST Chesapeake District Championship presented by Qualcomm,0
4456,2025chcmp,FIRST Chesapeake District Championship presented by Qualcomm,0
4464,2025chcmp,FIRST Chesapeake District Championship presented by Qualcomm,0
4472,2025chcmp,FIRST Chesapeake District Championship presented by Qualcomm,0
449,2025chcmp,FIRST Chesapeake District Championship presented by Qualcomm,1
4505,2025chcmp,FIRST Chesapeake District Championship presented by Qualcomm,1
4541,2025chcmp,FIRST Chesapeake District Championship presented by Qualcomm,1
4638,2025chcmp,FIRST Chesapeake District Championship presented by Qualcomm,1
4821,2025chcmp,FIRST Chesapeake District Championship presented by Qualcomm,1
5115,2025chcmp,FIRST Chesapeake District Championship presented by Qualcomm,1
5243,2025chcmp,FIRST Chesapeake District Championship presented by Qualcomm,0
5338,2025chcmp,FIRST Chesapeake District Championship presented by Qualcomm,1
539,2025chcmp,FIRST Chesapeake District Championship presented by Qualcomm,1
540,2025chcmp,FIRST Chesapeake District Championship presented by Qualcomm,1
5549,2025chcmp,FIRST Chesapeake District Championship presented by Qualcomm,0
5587,2025chcmp,FIRST Chesapeake District Championship presented by Qualcomm,0
5724,2025chcmp,FIRST Chesapeake District Championship presented by Qualcomm,0
5804,2025chcmp,FIRST Chesapeake District Championship presented by Qualcomm,1
5830,2025chcmp,FIRST Chesapeake District Championship presented by Qualcomm,0
5841,2025chcmp,FIRST Chesapeake District Championship presented by Qualcomm,0
611,2025chcmp,FIRST Chesapeake District Championship presented by Qualcomm,1
612,2025chcmp,FIRST Chesapeake District Championship presented by Qualcomm,0
614,2025chcmp,FIRST Chesapeake District Championship presented by Qualcomm,1
617,2025chcmp,FIRST Chesapeake District Championship presented by Qualcomm,0
619,2025chcmp,FIRST Chesapeake District Championship presented by Qualcomm,0
620,2025chcmp,FIRST Chesapeake District Championship presented by Qualcomm,1
6213,2025chcmp,FIRST Chesapeake District Championship presented by Qualcomm,1
623,2025chcmp,FIRST Chesapeake District Championship presented by Qualcomm,0
6239,2025chcmp,FIRST Chesapeake District Championship presented by Qualcomm,0
6326,2025chcmp,FIRST Chesapeake District Championship presented by Qualcomm,1
6802,2025chcmp,FIRST Chesapeake District Championship presented by Qualcomm,1
686,2025chcmp,FIRST Chesapeake District Championship presented by Qualcomm,1
6863,2025chcmp,FIRST Chesapeake District Championship presented by Qualcomm,0.5
6882,2025chcmp,FIRST Chesapeake District Championship presented by Qualcomm,0
7770,2025chcmp,FIRST Chesapeake District Championship presented by Qualcomm,0
7886,2025chcmp,FIRST Chesapeake District Championship presented by Qualcomm,0
8230,2025chcmp,FIRST Chesapeake District Championship presented by Qualcomm,1
8326,2025chcmp,FIRST Chesapeake District Championship presented by Qualcomm,0
836,2025chcmp,FIRST Chesapeake District Championship presented by Qualcomm,1
8590,2025chcmp,FIRST Chesapeake District Championship presented by Qualcomm,1
8592,2025chcmp,FIRST Chesapeake District Championship presented by Qualcomm,1
8622,2025chcmp,FIRST Chesapeake District Championship presented by Qualcomm,1
8726,2025chcmp,FIRST Chesapeake District Championship presented by Qualcomm,1
888,2025chcmp,FIRST Chesapeake District Championship presented by Qualcomm,1
9003,2025chcmp,FIRST Chesapeake District Championship presented by Qualcomm,0.5
9033,2025chcmp,FIRST Chesapeake District Championship presented by Qualcomm,0
9072,2025chcmp,FIRST Chesapeake District Championship presented by Qualcomm,1
9214,2025chcmp,FIRST Chesapeake District Championship presented by Qualcomm,0
9403,2025chcmp,FIRST Chesapeake District Championship presented by Qualcomm,0
9684,2025chcmp,FIRST Chesapeake District Championship presented by Qualcomm,0
9709,2025chcmp,FIRST Chesapeake District Championship presented by Qualcomm,0
977,2025chcmp,FIRST Chesapeake District Championship presented by Qualcomm,1
1,2025micmp,FIRST in Michigan State Championship,0
10181,2025micmp,FIRST in Michigan State Championship,0
1023,2025micmp,FIRST in Michigan State Championship,1
1025,2025micmp,FIRST in Michigan State Championship,1
10285,2025micmp,FIRST in Michigan State Championship,0.192321
10349,2025micmp,FIRST in Michigan State Championship,1
10421,2025micmp,FIRST in Michigan State Championship,0.218123
10473,2025micmp,FIRST in Michigan State Championship,0
10505,2025micmp,FIRST in Michigan State Championship,1
10547,2025micmp,FIRST in Michigan State Championship,0.104516
10577,2025micmp,FIRST in Michigan State Championship,0.135526
10587,2025micmp,FIRST in Michigan State Championship,0.156945
10589,2025micmp,FIRST in Michigan State Championship,1
10590,2025micmp,FIRST in Michigan State Championship,0.648917
10595,2025micmp,FIRST in Michigan State Championship,0.204886
10605,2025micmp,FIRST in Michigan State Championship,0
10606,2025micmp,FIRST in Michigan State Championship,1
10607,2025micmp,FIRST in Michigan State Championship,0
10612,2025micmp,FIRST in Michigan State Championship,0
10613,2025micmp,FIRST in Michigan State Championship,0
10614,2025micmp,FIRST in Michigan State Championship,0
10622,2025micmp,FIRST in Michigan State Championship,0.156945
10629,2025micmp,FIRST in Michigan State Championship,0
10633,2025micmp,FIRST in Michigan State Championship,0.564316
10642,2025micmp,FIRST in Michigan State Championship,0.145725
10651,2025micmp,FIRST in Michigan State Championship,0.263742
10652,2025micmp,FIRST in Michigan State Championship,0.247322
10654,2025micmp,FIRST in Michigan State Championship,0.711325
10656,2025micmp,FIRST in Michigan State Championship,0
10659,2025micmp,FIRST in Michigan State Championship,0.114287
10664,2025micmp,FIRST in Michigan State Championship,0.135526
