Team #,CMP,Event,P(DCMP)
1086,2022chcmp,FIRST Chesapeake District Championship sponsored by Newport News Shipbuilding,1
1111,2022chcmp,FIRST Chesapeake District Championship sponsored by Newport News Shipbuilding,1
1123,2022chcmp,FIRST Chesapeake District Championship sponsored by Newport News Shipbuilding,1
116,2022chcmp,FIRST Chesapeake District Championship sponsored by Newport News Shipbuilding,1
122,2022chcmp,FIRST Chesapeake District Championship sponsored by Newport News Shipbuilding,1
1262,2022chcmp,FIRST Chesapeake District Championship sponsored by Newport News Shipbuilding,1
1389,2022chcmp,FIRST Chesapeake District Championship sponsored by Newport News Shipbuilding,0
1418,2022chcmp,FIRST Chesapeake District Championship sponsored by Newport News Shipbuilding,0
1522,2022chcmp,FIRST Chesapeake District Championship sponsored by Newport News Shipbuilding,0
1598,2022chcmp,FIRST Chesapeake District Championship sponsored by Newport News Shipbuilding,0
1599,2022chcmp,FIRST Chesapeake District Championship sponsored by Newport News Shipbuilding,1
1610,2022chcmp,FIRST Chesapeake District Championship sponsored by Newport News Shipbuilding,1
1629,2022chcmp,FIRST Chesapeake District Championship sponsored by Newport News Shipbuilding,1
1719,2022chcmp,FIRST Chesapeake District Championship sponsored by Newport News Shipbuilding,1
1727,2022chcmp,FIRST Chesapeake District Championship sponsored by Newport News Shipbuilding,1
1731,2022chcmp,FIRST Chesapeake District Championship sponsored by Newport News Shipbuilding,1
1793,2022chcmp,FIRST Chesapeake District Championship sponsored by Newport News Shipbuilding,0
1885,2022chcmp,FIRST Chesapeake District Championship sponsored by Newport News Shipbuilding,1
1895,2022chcmp,FIRST Chesapeake District Championship sponsored by Newport News Shipbuilding,1
1908,2022chcmp,FIRST Chesapeake District Championship sponsored by Newport News Shipbuilding,1
1915,2022chcmp,FIRST Chesapeake District Championship sponsored by Newport News Shipbuilding,0
2028,2022chcmp,FIRST Chesapeake District Championship sponsored by Newport News Shipbuilding,0
2068,2022chcmp,FIRST Chesapeake District Championship sponsored by Newport News Shipbuilding,1
2106,2022chcmp,FIRST Chesapeake District Championship sponsored by Newport News Shipbuilding,0
2186,2022chcmp,FIRST Chesapeake District Championship sponsored by Newport News Shipbuilding,0
2199,2022chcmp,FIRST Chesapeake District Championship sponsored by Newport News Shipbuilding,1
2363,2022chcmp,FIRST Chesapeake District Championship sponsored by Newport News Shipbuilding,1
2377,2022chcmp,FIRST Chesapeake District Championship sponsored by Newport News Shipbuilding,1
2421,2022chcmp,FIRST Chesapeake District Championship sponsored by Newport News Shipbuilding,1
2534,2022chcmp,FIRST Chesapeake District Championship sponsored by Newport News Shipbuilding,0
2537,2022chcmp,FIRST Chesapeake District Championship sponsored by Newport News Shipbuilding,1
2849,2022chcmp,FIRST Chesapeake District Championship sponsored by Newport News Shipbuilding,0
2890,2022chcmp,FIRST Chesapeake District Championship sponsored by Newport News Shipbuilding,0
2900,2022chcmp,FIRST Chesapeake District Championship sponsored by Newport News Shipbuilding,0
2912,2022chcmp,FIRST Chesapeake District Championship sponsored by Newport News Shipbuilding,0
2914,2022chcmp,FIRST Chesapeake District Championship sponsored by Newport News Shipbuilding,1
2961,2022chcmp,FIRST Chesapeake District Championship sponsored by Newport News Shipbuilding,0
2988,2022chcmp,FIRST Chesapeake District Championship sponsored by Newport News Shipbuilding,0
2998,2022chcmp,FIRST Chesapeake District Championship sponsored by Newport News Shipbuilding,0
3136,2022chcmp,FIRST Chesapeake District Championship sponsored by Newport News Shipbuilding,1
3258,2022chcmp,FIRST Chesapeake District Championship sponsored by Newport News Shipbuilding,0
3274,2022chcmp,FIRST Chesapeake District Championship sponsored by Newport News Shipbuilding,1
3359,2022chcmp,FIRST Chesapeake District Championship sponsored by Newport News Shipbuilding,0
3361,2022chcmp,FIRST Chesapeake District Championship sponsored by Newport News Shipbuilding,0
3373,2022chcmp,FIRST Chesapeake District Championship sponsored by Newport News Shipbuilding,0
3389,2022chcmp,FIRST Chesapeake District Championship sponsored by Newport News Shipbuilding,0
339,2022chcmp,FIRST Chesapeake District Championship sponsored by Newport News Shipbuilding,0
346,2022chcmp,FIRST Chesapeake District Championship sponsored by Newport News Shipbuilding,0
3714,2022chcmp,FIRST Chesapeake District Championship sponsored by Newport News Shipbuilding,0
3748,2022chcmp,FIRST Chesapeake District Championship sponsored by Newport News Shipbuilding,1
3793,2022chcmp,FIRST Chesapeake District Championship sponsored by Newport News Shipbuilding,0
384,2022chcmp,FIRST Chesapeake District Championship sponsored by Newport News Shipbuilding,1
3939,2022chcmp,FIRST Chesapeake District Championship sponsored by Newport News Shipbuilding,1
401,2022chcmp,FIRST Chesapeake District Championship sponsored by Newport News Shipbuilding,1
4099,2022chcmp,FIRST Chesapeake District Championship sponsored by Newport News Shipbuilding,1
422,2022chcmp,FIRST Chesapeake District Championship sponsored by Newport News Shipbuilding,1
4242,2022chcmp,FIRST Chesapeake District Championship sponsored by Newport News Shipbuilding,1
4286,2022chcmp,FIRST Chesapeake District Championship sponsored by Newport News Shipbuilding,1
4456,2022chcmp,FIRST Chesapeake District Championship sponsored by Newport News Shipbuilding,0
4464,2022chcmp,FIRST Chesapeake District Championship sponsored by Newport News Shipbuilding,0
4472,2022chcmp,FIRST Chesapeake District Championship sponsored by Newport News Shipbuilding,1
449,2022chcmp,FIRST Chesapeake District Championship sponsored by Newport News Shipbuilding,1
4505,2022chcmp,FIRST Chesapeake District Championship sponsored by Newport News Shipbuilding,0
4541,2022chcmp,FIRST Chesapeake District Championship sponsored by Newport News Shipbuilding,1
4638,2022chcmp,FIRST Chesapeake District Championship sponsored by Newport News Shipbuilding,1
4821,2022chcmp,FIRST Chesapeake District Championship sponsored by Newport News Shipbuilding,1
5115,2022chcmp,FIRST Chesapeake District Championship sponsored by Newport News Shipbuilding,0
5243,2022chcmp,FIRST Chesapeake District Championship sponsored by Newport News Shipbuilding,1
5338,2022chcmp,FIRST Chesapeake District Championship sponsored by Newport News Shipbuilding,1
539,2022chcmp,FIRST Chesapeake District Championship sponsored by Newport News Shipbuilding,0
540,2022chcmp,FIRST Chesapeake District Championship sponsored by Newport News Shipbuilding,0
5546,2022chcmp,FIRST Chesapeake District Championship sponsored by Newport News Shipbuilding,0
5549,2022chcmp,FIRST Chesapeake District Championship sponsored by Newport News Shipbuilding,1
5587,2022chcmp,FIRST Chesapeake District Championship sponsored by Newport News Shipbuilding,1
5724,2022chcmp,FIRST Chesapeake District Championship sponsored by Newport News Shipbuilding,1
5804,2022chcmp,FIRST Chesapeake District Championship sponsored by Newport News Shipbuilding,1
5830,2022chcmp,FIRST Chesapeake District Championship sponsored by Newport News Shipbuilding,0
5841,2022chcmp,FIRST Chesapeake District Championship sponsored by Newport News Shipbuilding,0
5954,2022chcmp,FIRST Chesapeake District Championship sponsored by Newport News Shipbuilding,0
611,2022chcmp,FIRST Chesapeake District Championship sponsored by Newport News Shipbuilding,0
612,2022chcmp,FIRST Chesapeake District Championship sponsored by Newport News Shipbuilding,1
614,2022chcmp,FIRST Chesapeake District Championship sponsored by Newport News Shipbuilding,1
617,2022chcmp,FIRST Chesapeake District Championship sponsored by Newport News Shipbuilding,0
6189,2022chcmp,FIRST Chesapeake District Championship sponsored by Newport News Shipbuilding,0
619,2022chcmp,FIRST Chesapeake District Championship sponsored by Newport News Shipbuilding,0
6194,2022chcmp,FIRST Chesapeake District Championship sponsored by Newport News Shipbuilding,0
620,2022chcmp,FIRST Chesapeake District Championship sponsored by Newport News Shipbuilding,1
