Team #,CMP,Event,P(DCMP)
100,2026cancmp,FIRST California Northern State Championship,0.452738
10059,2026cancmp,FIRST California Northern State Championship,0.123538
10147,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0.265502
10166,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0.252084
10212,2026cancmp,FIRST California Northern State Championship,0.278851
10221,2026cancmp,FIRST California Northern State Championship,0.110468
10252,2026cancmp,FIRST California Northern State Championship,0.278851
10281,2026cancmp,FIRST California Northern State Championship,0.138286
10336,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0.265701
10339,2026cancmp,FIRST California Northern State Championship,0.304129
10372,2026cancmp,FIRST California Northern State Championship,0.216942
10392,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0.153467
10500,2026cancmp,FIRST California Northern State Championship,0.216942
10586,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0.265701
10615,2026cancmp,FIRST California Northern State Championship,0.268124
10625,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0.153467
10644,2026cancmp,FIRST California Northern State Championship,0.215437
10658,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0.265701
1072,2026cancmp,FIRST California Northern State Championship,0.71325
10936,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0.669854
11024,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0.669854
11096,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0.669854
11230,2026cancmp,FIRST California Northern State Championship,0.637033
11243,2026cancmp,FIRST California Northern State Championship,0.637033
11247,2026cancmp,FIRST California Northern State Championship,0.637033
11261,2026cancmp,FIRST California Northern State Championship,0.637033
11274,2026cancmp,FIRST California Northern State Championship,0.637033
11296,2026cancmp,FIRST California Northern State Championship,0.637033
1138,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0.823851
114,2026cancmp,FIRST California Northern State Championship,0.428257
11459,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0.213211
11463,2026cancmp,FIRST California Northern State Championship,0.637033
1148,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0.770053
115,2026cancmp,FIRST California Northern State Championship,0.427944
11501,2026cancmp,FIRST California Northern State Championship,0.637033
1159,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0.103923
1160,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0.590614
1197,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0.959397
1280,2026cancmp,FIRST California Northern State Championship,0.216575
1323,2026cancmp,FIRST California Northern State Championship,0.963404
1351,2026cancmp,FIRST California Northern State Championship,0.551402
1388,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0.871748
1452,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0.19778
1458,2026cancmp,FIRST California Northern State Championship,0.257338
1515,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0.166545
1538,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0.926842
1622,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0.222487
1661,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0.490578
1671,2026cancmp,FIRST California Northern State Championship,0.871029
1678,2026cancmp,FIRST California Northern State Championship,0.982198
1700,2026cancmp,FIRST California Northern State Championship,0.301605
1759,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0.113448
1836,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0.490578
1854,2026cancmp,FIRST California Northern State Championship,0.513089
1857,2026cancmp,FIRST California Northern State Championship,0.513089
1868,2026cancmp,FIRST California Northern State Championship,0.46818
192,2026cancmp,FIRST California Northern State Championship,0.333542
1967,2026cancmp,FIRST California Northern State Championship,0.597211
1972,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0.1445
199,2026cancmp,FIRST California Northern State Championship,0.247134
2035,2026cancmp,FIRST California Northern State Championship,0.690114
2073,2026cancmp,FIRST California Northern State Championship,0.548819
2102,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0.380453
2135,2026cancmp,FIRST California Northern State Championship,0.602311
2141,2026cancmp,FIRST California Northern State Championship,0.144706
22,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0.19778
2204,2026cancmp,FIRST California Northern State Championship,0.681616
2288,2026cancmp,FIRST California Northern State Championship,0.46818
2367,2026cancmp,FIRST California Northern State Championship,0.100749
2404,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0.198186
2429,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0.687934
2473,2026cancmp,FIRST California Northern State Championship,0.533227
2485,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0.749304
2489,2026cancmp,FIRST California Northern State Championship,0.287972
253,2026cancmp,FIRST California Northern State Championship,0.0762752
254,2026cancmp,FIRST California Northern State Championship,0.963404
2543,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0.661375
2551,2026cancmp,FIRST California Northern State Championship,0.12387
2584,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0.346426
2637,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0.643935
2643,2026cancmp,FIRST California Northern State Championship,0.284606
2658,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0.125088
