Team #,CMP,Event,P(DCMP)
1086,2023chcmp,FIRST Chesapeake District Championship,1
1111,2023chcmp,FIRST Chesapeake District Championship,1
1123,2023chcmp,FIRST Chesapeake District Championship,1
116,2023chcmp,FIRST Chesapeake District Championship,1
122,2023chcmp,FIRST Chesapeake District Championship,1
1262,2023chcmp,FIRST Chesapeake District Championship,0.5
1389,2023chcmp,FIRST Chesapeake District Championship,1
1418,2023chcmp,FIRST Chesapeake District Championship,1
1446,2023chcmp,FIRST Chesapeake District Championship,0
1522,2023chcmp,FIRST Chesapeake District Championship,0
1599,2023chcmp,FIRST Chesapeake District Championship,1
1610,2023chcmp,FIRST Chesapeake District Championship,1
1629,2023chcmp,FIRST Chesapeake District Championship,1
1719,2023chcmp,FIRST Chesapeake District Championship,0
1727,2023chcmp,FIRST Chesapeake District Championship,1
1731,2023chcmp,FIRST Chesapeake District Championship,1
1793,2023chcmp,FIRST Chesapeake District Championship,0
1885,2023chcmp,FIRST Chesapeake District Championship,0
1895,2023chcmp,FIRST Chesapeake District Championship,1
1908,2023chcmp,FIRST Chesapeake District Championship,1
1915,2023chcmp,FIRST Chesapeake District Championship,0
2028,2023chcmp,FIRST Chesapeake District Championship,1
2068,2023chcmp,FIRST Chesapeake District Championship,1
2106,2023chcmp,FIRST Chesapeake District Championship,1
2186,2023chcmp,FIRST Chesapeake District Championship,0
2199,2023chcmp,FIRST Chesapeake District Championship,1
2363,2023chcmp,FIRST Chesapeake District Championship,1
2377,2023chcmp,FIRST Chesapeake District Championship,1
2421,2023chcmp,FIRST Chesapeake District Championship,1
2534,2023chcmp,FIRST Chesapeake District Championship,0
2537,2023chcmp,FIRST Chesapeake District Championship,1
2849,2023chcmp,FIRST Chesapeake District Championship,0
2890,2023chcmp,FIRST Chesapeake District Championship,0
2900,2023chcmp,FIRST Chesapeake District Championship,0
2912,2023chcmp,FIRST Chesapeake District Championship,0
2914,2023chcmp,FIRST Chesapeake District Championship,0
2961,2023chcmp,FIRST Chesapeake District Championship,0
2988,2023chcmp,FIRST Chesapeake District Championship,0
2998,2023chcmp,FIRST Chesapeake District Championship,0
